"Name","DisplayName","Status","StartType","Time"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","04-22-2024 14:09:32"
"Schedule","Task Scheduler","Running","Automatic","04-22-2024 14:09:32"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","04-22-2024 14:09:32"
"SDRSVC","Windows Backup","Stopped","Manual","04-22-2024 14:09:32"
"seclogon","Secondary Logon","Stopped","Manual","04-22-2024 14:09:32"
"SecurityHealthService","Windows Security Service","Running","Manual","04-22-2024 14:09:32"
"SEMgrSvc","Payments and NFC/SE Manager","Running","Manual","04-22-2024 14:09:32"
"SENS","System Event Notification Service","Running","Automatic","04-22-2024 14:09:32"
"SensorDataService","Sensor Data Service","Stopped","Manual","04-22-2024 14:09:32"
"SensorService","Sensor Service","Stopped","Manual","04-22-2024 14:09:32"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","04-22-2024 14:09:32"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual","04-22-2024 14:09:32"
"SgrmBroker","System Guard Runtime Monitor Broker","Running","Automatic","04-22-2024 14:09:32"
"SharedAccess","Internet Connection Sharing (ICS)","Running","Manual","04-22-2024 14:09:32"
"SharedRealitySvc","Spatial Data Service","Stopped","Manual","04-22-2024 14:09:32"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic","04-22-2024 14:09:32"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","04-22-2024 14:09:32"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","04-22-2024 14:09:32"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual","04-22-2024 14:09:32"
"SNMPTRAP","SNMP Trap","Stopped","Manual","04-22-2024 14:09:32"
"spectrum","Windows Perception Service","Stopped","Manual","04-22-2024 14:09:32"
"Spooler","Print Spooler","Running","Automatic","04-22-2024 14:09:32"
"sppsvc","Software Protection","Stopped","Automatic","04-22-2024 14:09:32"
"SSDPSRV","SSDP Discovery","Running","Manual","04-22-2024 14:09:32"
"ssh-agent","OpenSSH Authentication Agent","Running","Automatic","04-22-2024 14:09:32"
"sshd","OpenSSH SSH Server","Running","Automatic","04-22-2024 14:09:32"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","04-22-2024 14:09:32"
"StateRepository","State Repository Service","Running","Manual","04-22-2024 14:09:32"
"stisvc","Windows Image Acquisition (WIA)","Stopped","Manual","04-22-2024 14:09:32"
"StorSvc","Storage Service","Running","Automatic","04-22-2024 14:09:32"
"svsvc","Spot Verifier","Stopped","Manual","04-22-2024 14:09:32"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","04-22-2024 14:09:32"
"SynTPEnhService","SynTPEnhService","Running","Automatic","04-22-2024 14:09:32"
"SysMain","SysMain","Running","Automatic","04-22-2024 14:09:32"
"SystemEventsBroker","System Events Broker","Running","Automatic","04-22-2024 14:09:32"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Running","Manual","04-22-2024 14:09:32"
"TapiSrv","Telephony","Stopped","Manual","04-22-2024 14:09:32"
